,id,url,type,cost,impression,effect,img
73,CR358159315678265344,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR358159315678265344,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/11512206230371436503
74,CR362662915305635840,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR362662915305635840,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/9104170563592006203
75,CR367166514933006336,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR367166514933006336,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/7387393618914809452
76,CR370544214653534208,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR370544214653534208,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/7949050572208210497
77,CR37277842228117504,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR37277842228117504,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/9390722645678212656
78,CR376173714187747328,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR376173714187747328,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/312559466169341521
79,CR379551413908275200,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR379551413908275200,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/10310795494844073946
80,CR380114363861696512,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR380114363861696512,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/11935223475067515043
81,CR38403742134960128,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR38403742134960128,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/3316677486529017976
82,CR385919785256353792,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR385919785256353792,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/12545839973479882068
84,CR389649328697769984,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR389649328697769984,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/2750649808515344881
85,CR390001172418658304,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR390001172418658304,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/12996432599747188189
86,CR391936312883544064,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR391936312883544064,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/9947520023848158639
87,CR393660347115896832,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR393660347115896832,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/13609711810189846033
88,CR403230496324059136,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR403230496324059136,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/4201729453584245602
89,CR40655541948645376,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR40655541948645376,Image,50.0,500000.0,10000.0,https://tpc.googlesyndication.com/simgad/6334696020412588358
90,CR407698911579340800,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR407698911579340800,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/6670860728452482548
91,CR410513661346447360,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR410513661346447360,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/7949050572208210497
92,CR418957910647767040,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR418957910647767040,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/9628976257367719069
93,CR421209710461452288,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR421209710461452288,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/16345660128454884854
94,CR42907341762330624,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR42907341762330624,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/6763138388463755802
95,CR432081681436901376,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR432081681436901376,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/6782221595049527836
96,CR434720509343563776,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR434720509343563776,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/6763138388463755802
97,CR443973999202926592,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR443973999202926592,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/16994065155096153429
98,CR454986707666731008,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR454986707666731008,Image,500.0,5000000.0,10000.0,https://tpc.googlesyndication.com/simgad/9947520023848158639
99,CR455795948224774144,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR455795948224774144,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/16658775924496923697
100,CR469588222083596288,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR469588222083596288,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/4371757728105564100
101,CR470749306362527744,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR470749306362527744,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/13128144611873581716
102,CR478630605710426112,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR478630605710426112,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/11508987281937096004
103,CR486511905058324480,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR486511905058324480,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/11935223475067515043
